release_seed,metric,contrast,condition,value
20260713,velocity_variance_ratio_max_abs_log_10_100ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.03327912099831065
20260713,velocity_variance_ratio_max_abs_log_10_100ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.1284711143894154
20260713,velocity_variance_ratio_max_abs_log_10_100ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.44253099248763383
20260713,velocity_variance_ratio_max_abs_log_10_100ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.3473389990965291
20260713,velocity_variance_ratio_max_abs_log_10_100ms,velocity_size_interaction,difference_of_differences,0.09519199339110473
20260713,ever_contacted_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,0.010000000000000009
20260713,ever_contacted_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.010000000000000009
20260713,ever_contacted_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.010000000000000009
20260713,ever_contacted_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.010000000000000009
20260713,ever_contacted_fraction,velocity_size_interaction,difference_of_differences,-0.020000000000000018
20260713,mean_sampled_contact_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.028392233545246115
20260713,mean_sampled_contact_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.012397134523613962
20260713,mean_sampled_contact_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.1073940557043277
20260713,mean_sampled_contact_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-0.09139895668269554
20260713,mean_sampled_contact_fraction,velocity_size_interaction,difference_of_differences,0.015995099021632153
20260713,p90_particle_maximum_contact_force_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,2.637384396414202e-05
20260713,p90_particle_maximum_contact_force_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,0.00014813699398495006
20260713,p90_particle_maximum_contact_force_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,9.822701615771502e-05
20260713,p90_particle_maximum_contact_force_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.00021999016617852308
20260713,p90_particle_maximum_contact_force_N,velocity_size_interaction,difference_of_differences,0.00012176315002080804
20260713,p90_particle_maximum_contact_force_over_debris_weight,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,17186.913404128005
20260713,p90_particle_maximum_contact_force_over_debris_weight,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,12066.963442211643
20260713,p90_particle_maximum_contact_force_over_debris_weight,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-45396.64213649345
20260713,p90_particle_maximum_contact_force_over_debris_weight,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-50516.59209840982
20260713,p90_particle_maximum_contact_force_over_debris_weight,velocity_size_interaction,difference_of_differences,-5119.949961916362
20260713,p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,1.9980771102863333e-05
20260713,p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3.3019941780611345e-05
20260713,p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-3.996461131393437e-05
20260713,p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-2.6925440636186356e-05
20260713,p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,velocity_size_interaction,difference_of_differences,1.3039170677748012e-05
20260713,early_contact_vs_later_dx_spearman_r,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.03238245005054563
20260713,early_contact_vs_later_dx_spearman_r,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.042808659963810725
20260713,early_contact_vs_later_dx_spearman_r,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.19431340966105165
20260713,early_contact_vs_later_dx_spearman_r,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.18388719974778656
20260713,early_contact_vs_later_dx_spearman_r,velocity_size_interaction,difference_of_differences,-0.010426209913265094
20260713,early_contact_vs_later_dx_geometry_adjusted_r,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.15542757849440675
20260713,early_contact_vs_later_dx_geometry_adjusted_r,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-0.07147275248679091
20260713,early_contact_vs_later_dx_geometry_adjusted_r,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,0.18016883243183007
20260713,early_contact_vs_later_dx_geometry_adjusted_r,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,0.2641236584394459
20260713,early_contact_vs_later_dx_geometry_adjusted_r,velocity_size_interaction,difference_of_differences,0.08395482600761583
20260713,early_contact_later_dx_difference_dp,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-0.783261765707211
20260713,early_contact_later_dx_difference_dp,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-1.8843886142834148
20260713,early_contact_later_dx_difference_dp,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-0.8564003177040647
20260713,early_contact_later_dx_difference_dp,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-1.9575271662802685
20260713,early_contact_later_dx_difference_dp,velocity_size_interaction,difference_of_differences,-1.1011268485762038
20260713,mean_drag_impulse_x_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,5.804366848019112e-09
20260713,mean_drag_impulse_x_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,1.3743562604153367e-08
20260713,mean_drag_impulse_x_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,9.267103410874668e-09
20260713,mean_drag_impulse_x_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,1.7206299167008922e-08
20260713,mean_drag_impulse_x_N_s,velocity_size_interaction,difference_of_differences,7.939195756134253e-09
20260713,mean_total_fluid_impulse_x_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,5.804366848019112e-09
20260713,mean_total_fluid_impulse_x_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,1.3743562604153367e-08
20260713,mean_total_fluid_impulse_x_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,9.267103410874668e-09
20260713,mean_total_fluid_impulse_x_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,1.7206299167008922e-08
20260713,mean_total_fluid_impulse_x_N_s,velocity_size_interaction,difference_of_differences,7.939195756134253e-09
20260713,mean_total_fluid_impulse_z_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-3.142361517518698e-11
20260713,mean_total_fluid_impulse_z_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-3.4331381805828903e-10
20260713,mean_total_fluid_impulse_z_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,9.941605328512991e-10
20260713,mean_total_fluid_impulse_z_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,6.82270329968197e-10
20260713,mean_total_fluid_impulse_z_N_s,velocity_size_interaction,difference_of_differences,-3.1189020288310205e-10
20260713,mean_gravity_impulse_z_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3.8737689623250985e-11
20260713,mean_gravity_impulse_z_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,1.349159274154701e-11
20260713,mean_gravity_impulse_z_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-3.228374562093888e-09
20260713,mean_gravity_impulse_z_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-3.2536206589755916e-09
20260713,mean_gravity_impulse_z_N_s,velocity_size_interaction,difference_of_differences,-2.5246096881703976e-11
20260713,mean_mechanical_contact_impulse_x_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-5.7949003985496724e-09
20260713,mean_mechanical_contact_impulse_x_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,-1.3723499304873876e-08
20260713,mean_mechanical_contact_impulse_x_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,-9.224498497051358e-09
20260713,mean_mechanical_contact_impulse_x_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,-1.715309740337556e-08
20260713,mean_mechanical_contact_impulse_x_N_s,velocity_size_interaction,difference_of_differences,-7.928598906324203e-09
20260713,mean_mechanical_contact_impulse_z_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,-8.128687952244815e-12
20260713,mean_mechanical_contact_impulse_z_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3.3505817579735425e-10
