metric,contrast,condition,count,mean,standard_deviation,standard_error,ci95_low,ci95_high,minimum,maximum,same_sign_count
mean_time_averaged_total_fluid_force_z_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,-2.637262733529051e-10,1.924147081482839e-10,1.11090683545455e-10,-7.417109061539959e-10,2.1425835944818567e-10,-4.3460022320761335e-10,-5.530560089788166e-11,3
mean_time_averaged_total_fluid_force_z_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,-8.172810183275792e-10,3.016392884177025e-10,1.741515243661277e-10,-1.5665945500229148e-09,-6.796748663224375e-11,-1.1302928851750494e-09,-5.284726332008083e-10,3
mean_time_averaged_total_fluid_force_z_N,velocity_size_interaction,difference_of_differences,3,-5.535547449746741e-10,4.5631938031003144e-10,2.634561170584399e-10,-1.6871149261923332e-09,5.800054362429852e-10,-1.0749872842771676e-09,-2.271996372475879e-10,3
mean_total_fluid_impulse_x_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,9.125827376532676e-09,9.970942327705868e-10,5.756726236975217e-10,6.648907990766973e-09,1.1602746762298378e-08,8.065630002569567e-09,1.0044748716153788e-08,3
mean_total_fluid_impulse_x_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,1.7472716569206378e-08,1.7355105376533375e-09,1.0019974760955865e-09,1.3161469393531191e-08,2.1783963744881564e-08,1.5885819706056055e-08,1.9326030834554157e-08,3
mean_total_fluid_impulse_x_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,7.037583711057445e-09,1.1057525461400947e-09,6.384065301710978e-10,4.290742111358465e-09,9.784425310756423e-09,5.804366848019112e-09,7.940672193947946e-09,3
mean_total_fluid_impulse_x_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,1.538447290373115e-08,1.7475074734007786e-09,1.0089239101788223e-09,1.1043423687540644e-08,1.9725522119921658e-08,1.3743562604153367e-08,1.7221954312348315e-08,3
mean_total_fluid_impulse_x_N_s,velocity_size_interaction,difference_of_differences,3,8.346889192673702e-09,8.113927624016185e-10,4.684578297910885e-10,6.331277832573737e-09,1.0362500552773668e-08,7.820189703486488e-09,9.281282118400369e-09,3
mean_total_fluid_impulse_z_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,9.545676345446082e-10,1.423047871508253e-10,8.215970716850138e-11,6.010629462247031e-10,1.3080723228645132e-09,7.966590778525001e-10,1.0728832929300252e-09,3
mean_total_fluid_impulse_z_N_s,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,8.056032423627718e-10,1.925930081589541e-10,1.1119362510461195e-10,3.271756877811747e-10,1.2840307969443688e-09,6.82270329968197e-10,1.0275313949566687e-09,3
mean_total_fluid_impulse_z_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,-1.0166035195175531e-10,6.300519172319144e-11,3.637606440172856e-11,-2.581739247455957e-10,5.485322084208507e-11,-1.5320293384664004e-10,-3.142361517518698e-11,3
mean_total_fluid_impulse_z_N_s,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,-2.5062474413359164e-10,8.905833227505993e-11,5.141785211258499e-11,-4.718579058811163e-10,-2.9391582386066915e-11,-3.4331381805828903e-10,-1.6570640480679527e-10,3
mean_total_fluid_impulse_z_N_s,velocity_size_interaction,difference_of_differences,3,-1.4896439218183632e-10,1.428258349566708e-10,8.246053425946695e-11,-5.037634350058522e-10,2.0583465064217956e-10,-3.1189020288310205e-10,-4.535189797335636e-11,3
mean_total_fluid_work_J,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,3.8477840511609544e-10,1.3743638033683608e-11,7.93489311839201e-12,3.506373155803683e-10,4.189194946518226e-10,3.743907653995658e-10,4.0036261920367595e-10,3
mean_total_fluid_work_J,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,1.344594300470375e-09,1.5927616743051394e-10,9.195813814149913e-11,9.489303663777241e-10,1.7402582345630258e-09,1.1628739976422496e-09,1.4599941374242715e-09,3
mean_total_fluid_work_J,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,1.9878086491609497e-10,2.6878339546035434e-11,1.5518216572273723e-11,1.3201136802132565e-10,2.655503618108643e-10,1.687570035889862e-10,2.2060241744946553e-10,3
mean_total_fluid_work_J,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,1.1585967602703747e-09,1.6377180471944106e-10,9.455369554044013e-11,7.517650440500773e-10,1.565428476490672e-09,9.69494552148407e-10,1.254360375613692e-09,3
mean_total_fluid_work_J,velocity_size_interaction,difference_of_differences,3,9.598158953542797e-10,1.7301191971638544e-10,9.988847842126907e-11,5.300304610094268e-10,1.3896013296991327e-09,7.625113784385738e-10,1.0856033720247059e-09,3
mean_wall_contact_sample_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,0.07438520493168944,0.015589781230329712,0.009000764389938236,0.03565804145993514,0.11311236840344374,0.058157280906364545,0.08924691769410198,3
mean_wall_contact_sample_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,0.09491947128734864,0.024638035927795864,0.014224776675216613,0.03371519709635498,0.1561237454783423,0.06663112295901366,0.11168277240919688,3
mean_wall_contact_sample_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,0.04296901032989004,0.010401070981993943,0.006005061131314608,0.01713131766122387,0.06880670299855621,0.03378207264245253,0.05426191269576809,3
mean_wall_contact_sample_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,0.06350327668554927,0.007697861403266959,0.004444362353360609,0.044380728874086325,0.08262582449701221,0.05621792735754744,0.07155614795068313,3
mean_wall_contact_sample_fraction,velocity_size_interaction,difference_of_differences,3,0.020534266355659216,0.011231024449840659,0.0064842349893907735,-0.007365145021459248,0.04843367773277768,0.008473842052649116,0.030693102299233624,3
non_gaussian_parameter_20ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-0.07067799439483691,0.08082055940501874,0.046661771728543716,-0.2714473938952938,0.13009140510562,-0.1616326531772173,-0.0071064571769490215,3
non_gaussian_parameter_20ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,-0.565651627257895,0.15501027073971968,0.08949522153873393,-0.9507184865066347,-0.18058476800915518,-0.6768513655462395,-0.3885851055367543,3
non_gaussian_parameter_20ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,0.5150261188183838,0.2172588373446574,0.12543444822476307,-0.024674752234306374,1.054726989871074,0.2661489833286841,0.6667874056296728,3
non_gaussian_parameter_20ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,0.020052485955325605,0.03594664305215946,0.020753804042627656,-0.06924392566034518,0.10934889757099639,-0.0214145252191007,0.04237545211593041,2
non_gaussian_parameter_20ms,velocity_size_interaction,difference_of_differences,3,-0.4949736328630581,0.23215818001565383,0.13403658772661134,-1.071686522924636,0.08173925719851965,-0.6335564927158951,-0.22695245235953698,3
non_gaussian_parameter_50ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-0.06217139898919399,0.07040236340563284,0.04064682346382798,-0.23706056491946748,0.11271776694107949,-0.14027521445280888,-0.0035916065634934435,3
non_gaussian_parameter_50ms,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,-0.9058751008753014,0.21824774996995705,0.12600539719518486,-1.4480325670740963,-0.36371763467650653,-1.1351924693923725,-0.7007054297739894,3
non_gaussian_parameter_50ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,0.8231615560294484,0.24373241075293578,0.1407189729584439,0.21769668290921929,1.4286264291496775,0.6289139077554261,1.0966553787672606,3
non_gaussian_parameter_50ms,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,-0.020542145856659217,0.02013325799126361,0.011623941920920231,-0.0705559312925809,0.029471639579262476,-0.03494548406161857,0.0024631925589245762,2
non_gaussian_parameter_50ms,velocity_size_interaction,difference_of_differences,3,-0.8437037018861075,0.25278889790683834,0.14594773825466195,-1.47166613628107,-0.2157412674911452,-1.1316008628288792,-0.6580580538227098,3
outlet_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-0.07333333333333333,0.03214550253664318,0.01855921454276674,-0.15318718844685658,0.006520521780189914,-0.11,-0.05,3
outlet_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,-0.26,0.03999999999999998,0.02309401076758502,-0.3593655084688709,-0.16063449153112913,-0.3,-0.22000000000000003,3
outlet_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,0.24666666666666667,0.030550504633038936,0.01763834207376394,0.1707750059956039,0.32255832733772943,0.22000000000000003,0.28,3
outlet_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,0.06,0.010000000000000002,0.005773502691896259,0.035158622882782264,0.08484137711721773,0.05,0.07,3
outlet_fraction,velocity_size_interaction,difference_of_differences,3,-0.18666666666666668,0.025166114784235825,0.014529663145135575,-0.24918276145970575,-0.1241505718736276,-0.21000000000000002,-0.16000000000000003,3
p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-2.587698005656583e-05,1.4393323137460375e-05,8.309988987946016e-06,-6.16319768593287e-05,9.878016746197036e-06,-3.996461131393437e-05,-1.1196297589533398e-05,3
p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,-1.6638064154394764e-05,9.233487556922606e-06,5.330956526548327e-06,-3.9575318805259955e-05,6.299190496470427e-06,-2.6925440636186356e-05,-9.068534553216824e-06,3
p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,2.532615809562852e-05,5.094692797123522e-06,2.941422257857713e-06,1.2670239588656693e-05,3.7982076602600344e-05,1.9980771102863333e-05,3.0126296801703917e-05,3
p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,3.4565073997799586e-05,8.047296060171151e-06,4.646108546588429e-06,1.457448237733838e-05,5.4555665618260794e-05,2.7402377117456206e-05,4.327290309533121e-05,3
p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,velocity_size_interaction,difference_of_differences,3,9.238915902171069e-06,1.0587235170725789e-05,6.112543075792408e-06,-1.706123424829597e-05,3.5539066052638104e-05,-2.7239196842477107e-06,1.7401496713012902e-05,2
p90_particle_maximum_contact_force_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,0.00014490213546020344,5.28005546455737e-05,3.0484414437983523e-05,1.373828646530754e-05,0.00027606598445509934,9.822701615771502e-05,0.0002022098805606628,3
p90_particle_maximum_contact_force_N,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,0.000275301974358735,4.8101804583499197e-05,2.777158982479004e-05,0.00015581046759099342,0.0003947934811264766,0.00021999016617852308,0.00030734382316642745,3
p90_particle_maximum_contact_force_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,3.314281296193521e-05,6.558387435866253e-06,3.786486751547241e-06,1.685087540441759e-05,4.9434750519452834e-05,2.637384396414202e-05,3.946808643474923e-05,3
p90_particle_maximum_contact_force_N,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,0.00016354265186046676,3.78450407945546e-05,2.1849844490228466e-05,6.953035882106475e-05,0.00025755494489986875,0.00013583013960534094,0.0002066608219911093,3
p90_particle_maximum_contact_force_N,velocity_size_interaction,difference_of_differences,3,0.00013039983889853154,3.907860050527107e-05,2.25620405212721e-05,3.332321366207812e-05,0.00022747646413498495,9.63620531705917e-05,0.0001730743135041949,3
p90_particle_maximum_contact_force_over_debris_weight,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-38367.68486123086,6677.522124342959,3855.2691960090892,-54955.56939116769,-21779.800331294027,-45396.64213649345,-32108.279733146766,3
p90_particle_maximum_contact_force_over_debris_weight,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,-46643.81943671576,3934.1268802572927,2271.3692133426907,-56416.732382661234,-36870.90649077029,-50516.59209840982,-42651.082395729696,3
p90_particle_maximum_contact_force_over_debris_weight,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,21598.014196203363,4273.872139541234,2467.521230246173,10981.127239291964,32214.901153114763,17186.913404128005,25719.974104000175,3
p90_particle_maximum_contact_force_over_debris_weight,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,13321.879620718455,3082.786490073466,1779.8476098980575,5663.813443540557,20979.945797896355,11064.470021139168,16834.20539880455,3
p90_particle_maximum_contact_force_over_debris_weight,velocity_size_interaction,difference_of_differences,3,-8276.134575484908,5524.797620105012,3189.7433931858327,-22000.49269321847,5448.223542248656,-14655.504082861007,-5052.9496816773535,3
pressure_gradient_tail_mean_Pa_m,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,0.21856948148138144,0.1163706284280294,0.06718661364868869,-0.07051118513344823,0.5076501480962111,0.09497422222216301,0.32603199999971366,3
pressure_gradient_tail_mean_Pa_m,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,0.49783111111113004,0.17342919754062683,0.10012939388542169,0.06700910118681391,0.9286531210354462,0.3844160000003285,0.6974737777777591,3
pressure_gradient_tail_mean_Pa_m,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,1294.5095336296297,0.24042884024350572,0.13881165563553757,1293.9122752805952,1295.1067919786642,1294.2955804444446,1294.769722666667,3
pressure_gradient_tail_mean_Pa_m,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,1294.7887952592594,0.05765812119313709,0.033288931791825765,1294.6455645460164,1294.9320259725023,1294.752739555556,1294.8552942222225,3
pressure_gradient_tail_mean_Pa_m,velocity_size_interaction,difference_of_differences,3,0.2792616296297486,0.18880594948842158,0.10900716576174309,-0.18975834969187572,0.7482816089513729,0.08557155555558893,0.46277155555549143,3
