case_label,debris_total_number,x_index,x_over_L,mean_pressure
N=3000,3000,23,0.13055555555555556,0.8815553612475775
N=3000,3000,24,0.1361111111111111,0.8764579960532258
N=3000,3000,25,0.14166666666666666,0.870841986010334
N=3000,3000,26,0.14722222222222223,0.8654368431707556
N=3000,3000,27,0.1527777777777778,0.8596236679355866
N=3000,3000,28,0.15833333333333333,0.8539334957019914
N=3000,3000,29,0.1638888888888889,0.84746304892389
N=3000,3000,30,0.16944444444444445,0.8411939079766986
N=3000,3000,31,0.175,0.8343699617362849
N=3000,3000,32,0.18055555555555555,0.8281767624769958
N=3000,3000,33,0.18611111111111112,0.8224571703415795
N=3000,3000,34,0.19166666666666668,0.8166779099785544
N=3000,3000,35,0.19722222222222222,0.8118237716059528
N=3000,3000,36,0.20277777777777778,0.8067524625981414
N=3000,3000,37,0.20833333333333334,0.8011746836616191
N=3000,3000,38,0.21388888888888888,0.7954366455319732
N=3000,3000,39,0.21944444444444444,0.7895338930063758
N=3000,3000,40,0.225,0.7840305857030199
N=3000,3000,41,0.23055555555555557,0.7785735443613501
N=3000,3000,42,0.2361111111111111,0.7732783094712706
N=3000,3000,43,0.24166666666666667,0.7680387249528996
N=3000,3000,44,0.24722222222222223,0.7623030412421944
N=3000,3000,45,0.25277777777777777,0.7571501974967373
N=3000,3000,46,0.25833333333333336,0.7518593146475941
N=3000,3000,47,0.2638888888888889,0.7465017483663002
N=3000,3000,48,0.26944444444444443,0.7407635159088365
N=3000,3000,49,0.275,0.7338081492331676
N=3000,3000,50,0.28055555555555556,0.7280980253703514
N=3000,3000,51,0.2861111111111111,0.7216431922746993
N=3000,3000,52,0.2916666666666667,0.7160453563390637
N=3000,3000,53,0.2972222222222222,0.7094888894958699
N=3000,3000,54,0.30277777777777776,0.7033660916217741
N=3000,3000,55,0.30833333333333335,0.6975063314289844
N=3000,3000,56,0.3138888888888889,0.6922158412256245
N=3000,3000,57,0.3194444444444444,0.6865242989389214
N=3000,3000,58,0.325,0.6800934775395244
N=3000,3000,59,0.33055555555555555,0.6730877852472188
N=3000,3000,60,0.33611111111111114,0.6684835123460695
N=3000,3000,61,0.3416666666666667,0.6626556449207682
N=3000,3000,62,0.3472222222222222,0.6565074786764422
N=3000,3000,63,0.3527777777777778,0.650769047935355
N=3000,3000,64,0.35833333333333334,0.6447117849299056
N=3000,3000,65,0.3638888888888889,0.6381360365132382
N=3000,3000,66,0.36944444444444446,0.6321612078662051
N=3000,3000,67,0.375,0.6264964933210528
N=3000,3000,68,0.38055555555555554,0.6202420348816635
N=3000,3000,69,0.3861111111111111,0.6139542870805412
N=3000,3000,70,0.39166666666666666,0.6082191610226219
N=3000,3000,71,0.3972222222222222,0.6023449323031649
N=3000,3000,72,0.4027777777777778,0.5968812162337285
N=3000,3000,73,0.4083333333333333,0.5907386208476376
N=3000,3000,74,0.41388888888888886,0.5852537571588821
N=3000,3000,75,0.41944444444444445,0.5796897379473563
N=3000,3000,76,0.425,0.5737193044315896
N=3000,3000,77,0.4305555555555556,0.5679619496269063
N=3000,3000,78,0.4361111111111111,0.561997900080394
N=3000,3000,79,0.44166666666666665,0.556034479704437
N=3000,3000,80,0.44722222222222224,0.5504246051527072
N=3000,3000,81,0.4527777777777778,0.544498969885693
N=3000,3000,82,0.4583333333333333,0.5388901148943406
N=3000,3000,83,0.4638888888888889,0.5337543726492671
N=3000,3000,84,0.46944444444444444,0.5281749682016941
N=3000,3000,85,0.475,0.5223183064906181
N=3000,3000,86,0.48055555555555557,0.5165702372977719
N=3000,3000,87,0.4861111111111111,0.5099827612268611
N=3000,3000,88,0.49166666666666664,0.5045908025818759
N=3000,3000,89,0.49722222222222223,0.4981900480046377
N=3000,3000,90,0.5027777777777778,0.49153996181569143
N=3000,3000,91,0.5083333333333333,0.4851614710445373
N=3000,3000,92,0.5138888888888888,0.4789929036382645
N=3000,3000,93,0.5194444444444445,0.47311450961421514
N=3000,3000,94,0.525,0.4672265579163312
N=3000,3000,95,0.5305555555555556,0.46150923874091326
N=3000,3000,96,0.5361111111111111,0.45585970044181784
N=3000,3000,97,0.5416666666666666,0.4505064069727055
N=3000,3000,98,0.5472222222222223,0.44564857467035734
N=3000,3000,99,0.5527777777777778,0.44067634773401404
N=3000,3000,100,0.5583333333333333,0.434702508877127
N=3000,3000,101,0.5638888888888889,0.42902565417108246
N=3000,3000,102,0.5694444444444444,0.4236538411968208
N=3000,3000,103,0.575,0.4177120790631701
N=3000,3000,104,0.5805555555555556,0.41146701220689313
N=3000,3000,105,0.5861111111111111,0.4050589408250643
N=3000,3000,106,0.5916666666666667,0.3988122539735546
N=3000,3000,107,0.5972222222222222,0.3931944656043829
N=3000,3000,108,0.6027777777777777,0.38760227579001527
N=3000,3000,109,0.6083333333333333,0.3812869033513504
N=3000,3000,110,0.6138888888888889,0.37518784148437684
N=3000,3000,111,0.6194444444444445,0.3689066782163975
N=3000,3000,112,0.625,0.3633000273219017
N=3000,3000,113,0.6305555555555555,0.35676287156347125
N=3000,3000,114,0.6361111111111111,0.35066541441913734
N=3000,3000,115,0.6416666666666667,0.3447327059582554
N=3000,3000,116,0.6472222222222223,0.33946117207723486
N=3000,3000,117,0.6527777777777778,0.3345637767126332
N=3000,3000,118,0.6583333333333333,0.3286504886257087
N=3000,3000,119,0.6638888888888889,0.3226625656781236
N=3000,3000,120,0.6694444444444444,0.31728711422633815
N=3000,3000,121,0.675,0.31147240749276517
N=3000,3000,122,0.6805555555555556,0.30605329623821464
N=3000,3000,123,0.6861111111111111,0.2998155669331512
N=3000,3000,124,0.6916666666666667,0.29344151122977624
N=3000,3000,125,0.6972222222222222,0.28789611330466786
N=3000,3000,126,0.7027777777777777,0.28178976826755486
N=3000,3000,127,0.7083333333333334,0.2763308564653802
N=3000,3000,128,0.7138888888888889,0.2704123175974409
N=3000,3000,129,0.7194444444444444,0.26445460040453744
N=3000,3000,130,0.725,0.25857619802955506
N=3000,3000,131,0.7305555555555555,0.2532807948017649
N=3000,3000,132,0.7361111111111112,0.24733258709584532
N=3000,3000,133,0.7416666666666667,0.24179700738229426
N=3000,3000,134,0.7472222222222222,0.23597539391158326
N=3000,3000,135,0.7527777777777778,0.22955428749759516
N=3000,3000,136,0.7583333333333333,0.22373351202786537
N=3000,3000,137,0.7638888888888888,0.21821204419079165
N=3000,3000,138,0.7694444444444445,0.21273181348087145
N=3000,3000,139,0.775,0.20709204175520193
N=3000,3000,140,0.7805555555555556,0.2018366907930739
N=3000,3000,141,0.7861111111111111,0.19710851218362146
N=3000,3000,142,0.7916666666666666,0.19241184742090828
N=3000,3000,143,0.7972222222222223,0.18754651500577843
N=3000,3000,144,0.8027777777777778,0.18188294123704543
N=3000,3000,145,0.8083333333333333,0.17564008505827322
N=3000,3000,146,0.8138888888888889,0.1707027827714337
N=3000,3000,147,0.8194444444444444,0.16532466651872416
N=3000,3000,148,0.825,0.15877456610123766
N=3000,3000,149,0.8305555555555556,0.15380771665289897
N=3000,3000,150,0.8361111111111111,0.14817360756020642
N=3000,3000,151,0.8416666666666667,0.1431597268412592
N=3000,3000,152,0.8472222222222222,0.13753183244960543
N=3000,3000,153,0.8527777777777777,0.13137139133994485
N=3000,3000,154,0.8583333333333333,0.12560989764836406
N=3000,3000,155,0.8638888888888889,0.12043892124339904
N=3000,3000,156,0.8694444444444445,0.11554260654382477
N=3000,3000,157,0.875,0.10972329187998638
N=3000,3000,158,0.8805555555555555,0.10375667935027931
N=3000,3000,159,0.8861111111111111,0.0978613611147572
N=3000,3000,160,0.8916666666666667,0.09212900643881329
N=3000,3000,161,0.8972222222222223,0.08659113911487974
N=3000,3000,162,0.9027777777777778,0.08147607915410916
N=3000,3000,163,0.9083333333333333,0.07565971983909846
N=3000,3000,164,0.9138888888888889,0.06962807072308531
N=3000,3000,165,0.9194444444444444,0.06417218040546757
N=3000,3000,166,0.925,0.0591296727379412
N=3000,3000,167,0.9305555555555556,0.0538087389578458
N=3000,3000,168,0.9361111111111111,0.049568177666755954
N=3000,3000,169,0.9416666666666667,0.045360429465090585
N=3000,3000,170,0.9472222222222222,0.040157175010496045
N=3000,3000,171,0.9527777777777777,0.03521785587985816
N=3000,3000,172,0.9583333333333334,0.03124586847977484
N=3000,3000,173,0.9638888888888889,0.024631685041480316
N=3000,3000,174,0.9694444444444444,0.01839108142377739
N=3000,3000,175,0.975,0.014588573345946154
N=3000,3000,176,0.9805555555555555,0.009901356357641913
N=3000,3000,177,0.9861111111111112,0.004460099546011726
N=3000,3000,178,0.9916666666666667,0.0019417985540820621
N=3000,3000,179,0.9972222222222222,0.0
N=6000,6000,0,0.002777777777777778,1.0
N=6000,6000,1,0.008333333333333333,0.9979716786105177
N=6000,6000,2,0.013888888888888888,0.9954137924496268
N=6000,6000,3,0.019444444444444445,0.9895397172527624
N=6000,6000,4,0.025,0.9847181001427125
N=6000,6000,5,0.030555555555555555,0.9807821041277078
N=6000,6000,6,0.03611111111111111,0.975311724660948
N=6000,6000,7,0.041666666666666664,0.9686035306853504
N=6000,6000,8,0.04722222222222222,0.9642919862697055
N=6000,6000,9,0.05277777777777778,0.958358290820409
N=6000,6000,10,0.058333333333333334,0.9521308860497372
N=6000,6000,11,0.06388888888888888,0.9477154348839814
N=6000,6000,12,0.06944444444444445,0.9424291993091409
N=6000,6000,13,0.075,0.9368834822351259
N=6000,6000,14,0.08055555555555556,0.9309403557154885
N=6000,6000,15,0.08611111111111111,0.9243514416171992
N=6000,6000,16,0.09166666666666666,0.9191321310156726
N=6000,6000,17,0.09722222222222222,0.9125684704662473
N=6000,6000,18,0.10277777777777777,0.906820081986141
N=6000,6000,19,0.10833333333333334,0.9017255671453033
N=6000,6000,20,0.11388888888888889,0.896411854920913
N=6000,6000,21,0.11944444444444445,0.8914287310294173
N=6000,6000,22,0.125,0.8862781966788057
N=6000,6000,23,0.13055555555555556,0.8815556593718026
N=6000,6000,24,0.1361111111111111,0.8764583019114568
N=6000,6000,25,0.14166666666666666,0.8708422994507048
N=6000,6000,26,0.14722222222222223,0.8654371630095172
N=6000,6000,27,0.1527777777777778,0.8596239931106748
N=6000,6000,28,0.15833333333333333,0.8539338248769357
N=6000,6000,29,0.1638888888888889,0.847463381881299
N=6000,6000,30,0.16944444444444445,0.8411942431677406
N=6000,6000,31,0.175,0.8343702968978084
N=6000,6000,32,0.18055555555555555,0.8281770953969648
N=6000,6000,33,0.18611111111111112,0.8224574955238035
N=6000,6000,34,0.19166666666666668,0.8166782224027657
N=6000,6000,35,0.19722222222222222,0.8118240697745069
N=6000,6000,36,0.20277777777777778,0.8067527413765418
N=6000,6000,37,0.20833333333333334,0.8011749356420272
N=6000,6000,38,0.21388888888888888,0.7954368651994013
N=6000,6000,39,0.21944444444444444,0.7895340743322866
N=6000,6000,40,0.225,0.7840307264215363
N=6000,6000,41,0.23055555555555557,0.7785736403613132
N=6000,6000,42,0.2361111111111111,0.7732783591310883
N=6000,6000,43,0.24166666666666667,0.7680387240585004
N=6000,6000,44,0.24722222222222223,0.7623029817863501
N=6000,6000,45,0.25277777777777777,0.7571500819459428
N=6000,6000,46,0.25833333333333336,0.7518591381156359
N=6000,6000,47,0.2638888888888889,0.7465015058757976
N=6000,6000,48,0.26944444444444443,0.7407632000813242
N=6000,6000,49,0.275,0.7338077410656779
N=6000,6000,50,0.28055555555555556,0.7280975413838895
