timestep,time_s,retained_count,retained_fraction,cumulative_outlet_count,cumulative_breakthrough_fraction,new_outlet_count,z_mean_m,z_p10_m,z_p50_m,z_p90_m,downward_velocity_mean_m_s
13600000,13.6,4104,1.0,0,0.0,0,0.011551435819688111,0.01040228,0.011843449999999998,0.01234597,6.741692607404969e-05
13700000,13.7,4104,1.0,0,0.0,0,0.011548725581140352,0.01040008,0.0118437,0.01234764,-4.510397040886942e-05
13800000,13.799999999999999,4104,1.0,0,0.0,0,0.011549327472222223,0.01040008,0.0118419,0.0123499,-0.0010159426303677143
13900000,13.899999999999999,4104,1.0,0,0.0,0,0.0116326647624269,0.01040228,0.01184325,0.01236251,0.00018148158857831864
14000000,14.0,4104,1.0,0,0.0,0,0.011583544545565304,0.01040228,0.0118429,0.012355370000000001,-0.0005173236181158665
14100000,14.1,4104,1.0,0,0.0,0,0.011574815051900585,0.0104054,0.01184365,0.012355290000000001,0.00018058256856249994
14200000,14.2,4104,1.0,0,0.0,0,0.01155705526193957,0.01040228,0.0118425,0.0123503,4.697877939658876e-05
14300000,14.299999999999999,4104,1.0,0,0.0,0,0.011549323961988305,0.01040228,0.011842100000000001,0.01235056,-5.041347294726611e-05
14400000,14.399999999999999,4104,1.0,0,0.0,0,0.011553124906189085,0.010400010000000001,0.0118397,0.01234874,-0.0009925915391724852
14500000,14.5,4104,1.0,0,0.0,0,0.011543364335282651,0.01040008,0.01183995,0.0123485,0.00032461776780489776
14600000,14.6,4104,1.0,0,0.0,0,0.011537568308723196,0.01040008,0.011840199999999999,0.01234808,6.58678137972466e-05
14700000,14.7,4104,1.0,0,0.0,0,0.011537886381578948,0.01040008,0.011841299999999999,0.01234767,-0.0002767008913334795
14800000,14.799999999999999,4104,1.0,0,0.0,0,0.011537605139132556,0.01040008,0.01184015,0.01234857,0.00015317253679580895
14900000,14.899999999999999,4104,1.0,0,0.0,0,0.011540137403265108,0.01040008,0.01183865,0.012347770000000001,-4.5608346484005835e-05
15000000,15.0,4104,1.0,0,0.0,0,0.01154268165643275,0.01040008,0.011839849999999999,0.01234764,-0.000159789476310692
