time_s,series,passage
0.22875000000000004,CFD-DEM passage,0.81
0.22875000000000004,Classical,0.8359330424869805
0.22875000000000004,Time-fractional,0.9303
0.23250000000000004,CFD-DEM passage,0.81
0.23250000000000004,Classical,0.8397170882420252
0.23250000000000004,Time-fractional,0.9315
0.23625000000000004,CFD-DEM passage,0.81
0.23625000000000004,Classical,0.843388563077757
0.23625000000000004,Time-fractional,0.9324666666666668
0.24000000000000005,CFD-DEM passage,0.81
0.24000000000000005,Classical,0.8469518171739477
0.24000000000000005,Time-fractional,0.9334666666666668
0.24375000000000005,CFD-DEM passage,0.8133333333333334
0.24375000000000005,Classical,0.8504109875934343
0.24375000000000005,Time-fractional,0.9344666666666668
0.24750000000000005,CFD-DEM passage,0.8133333333333334
0.24750000000000005,Classical,0.8537700110275469
0.24750000000000005,Time-fractional,0.9353666666666668
0.25125000000000003,CFD-DEM passage,0.8133333333333334
0.25125000000000003,Classical,0.857032635644432
0.25125000000000003,Time-fractional,0.9362
0.255,CFD-DEM passage,0.8133333333333334
0.255,Classical,0.8602024321123318
0.255,Time-fractional,0.9370333333333334
0.25875000000000004,CFD-DEM passage,0.8133333333333334
0.25875000000000004,Classical,0.8632828038634512
0.25875000000000004,Time-fractional,0.9381
0.2625,CFD-DEM passage,0.8133333333333334
0.2625,Classical,0.866276996658225
0.2625,Time-fractional,0.9391666666666668
0.26625000000000004,CFD-DEM passage,0.8133333333333334
0.26625000000000004,Classical,0.8691881075045436
0.26625000000000004,Time-fractional,0.9403333333333334
0.27,CFD-DEM passage,0.8133333333333334
0.27,Classical,0.8720190929817535
0.27,Time-fractional,0.9411333333333334
0.27375000000000005,CFD-DEM passage,0.8133333333333334
0.27375000000000005,Classical,0.8747727770149374
0.27375000000000005,Time-fractional,0.9417666666666666
0.2775,CFD-DEM passage,0.8133333333333334
0.2775,Classical,0.8774518581411035
0.2775,Time-fractional,0.9424333333333332
0.28125000000000006,CFD-DEM passage,0.8133333333333334
0.28125000000000006,Classical,0.8800589163053706
0.28125000000000006,Time-fractional,0.9434333333333332
0.28500000000000003,CFD-DEM passage,0.8133333333333334
0.28500000000000003,Classical,0.8825964192220433
0.28500000000000003,Time-fractional,0.9439333333333332
0.28875,CFD-DEM passage,0.8133333333333334
0.28875,Classical,0.8850667283325687
0.28875,Time-fractional,0.9446666666666668
0.29250000000000004,CFD-DEM passage,0.8133333333333334
0.29250000000000004,Classical,0.8874721043897189
0.29250000000000004,Time-fractional,0.9453
0.29625,CFD-DEM passage,0.8133333333333334
0.29625,Classical,0.8898147126949575
0.29625,Time-fractional,0.9461666666666668
0.30000000000000004,CFD-DEM passage,0.8133333333333334
0.30000000000000004,Classical,0.8920966280137506
0.30000000000000004,Time-fractional,0.9466333333333332
