ix,iy,iz,x_center_m,y_center_m,z_center_m,resolved_fluid_volume_m3,resolved_epsilon,unresolved_epsilon_raw,unresolved_epsilon_drag_used,resolved_ux_m_per_s,resolved_uy_m_per_s,resolved_uz_m_per_s,resolved_mean_umag_m_per_s,resolved_ux_std_within_bin_m_per_s,unresolved_ux_m_per_s,unresolved_uy_m_per_s,unresolved_uz_m_per_s,resolved_qx_m_per_s,unresolved_qx_m_per_s,resolved_p_m2_per_s2,unresolved_p_m2_per_s2
1,4,1,0.00375,0.01125,0.0039,6.1522960325968846e-09,0.3786028327751928,0.382237,0.4,0.19616471507280078,0.013944308320715373,0.01600280296057531,0.2711565417569241,0.17198004579056983,0.116225,0.00315323,8.17064e-05,0.07426851681710094,0.04442549,96.68701475385646,333.209
1,4,2,0.00375,0.01125,0.0065,6.378665906440495e-09,0.3925332865501842,0.365571,0.4,0.1977915494017369,-0.00037114607045077205,0.057720171648740375,0.27442504077119423,0.2046355474831464,0.139369,-0.00193242,-0.000827601,0.07763976693851692,0.05094926,91.33962030423784,332.864
1,4,3,0.00375,0.01125,0.0091,6.353777539686143e-09,0.3910016947499164,0.425569,0.425569,0.21002168843442112,-0.013739289698464774,0.05271480424993603,0.27657010255926756,0.20521229900597732,0.13617,0.00162072,-0.00394897,0.08211883611209758,0.05794973,83.31367823071204,333.428
1,4,4,0.00375,0.01125,0.011699999999999999,8.036149040746835e-09,0.4945322486613436,0.495567,0.495567,0.343354509040145,0.021936736029131387,0.05190287299273466,0.41139787365906916,0.3625983788156474,0.336852,-0.00558474,-0.00437033,0.16979987744363453,0.16693275,70.42143763937956,333.857
1,5,0,0.00375,0.01375,0.0013,6.751107987204519e-09,0.41545279921258604,0.404458,0.404458,0.25130161837360676,0.0023457828443287773,0.0033498108821545546,0.3060432815767809,0.23037512212388517,0.27572,0.00101622,0.00197139,0.10440396079996797,0.11151715,98.06397429530506,332.754
1,5,1,0.00375,0.01375,0.0039,6.07762629641481e-09,0.3740077720870654,0.376681,0.4,0.2298066751270223,0.014449283068122981,0.012736456810492128,0.28606232747468335,0.20877235829019025,0.203563,0.00396083,-0.000314105,0.08594948257499364,0.07667831,97.23895876392862,332.485
1,5,2,0.00375,0.01375,0.0065,6.527996529173904e-09,0.40172286333377893,0.391125,0.4,0.21452756357438874,0.00643971185856866,0.04306565609286511,0.2754857229792799,0.20822699095657915,0.202506,0.000273183,-0.00619761,0.08618062710312274,0.07920516,92.43879477937051,332.813
1,5,3,0.00375,0.01375,0.0091,6.084442248931324e-09,0.3744272153188509,0.410014,0.410014,0.1633964533595323,0.029338913839533836,0.046445567368036074,0.2198745321897422,0.14690095406282103,0.23304,-0.00131397,-0.0103306,0.06118007902438618,0.095549665,83.3081465015277,333.616
1,5,4,0.00375,0.01375,0.011699999999999999,8.530073551591966e-09,0.5249276031748905,0.523345,0.523345,0.33772201832519044,0.025560488326025543,0.07471696455018764,0.4087333330693056,0.33492326787194393,0.480178,-0.00797828,-0.0111561,0.17727960961882866,0.25129876,71.2987547353551,334.372
2,0,0,0.00625,0.00125,0.0013,7.068149135545625e-09,0.4349630237258847,0.445569,0.445569,0.2804487449330226,-0.004712219617716187,0.023372822707670524,0.3400118630708896,0.24601570430134348,0.378414,0.0118314,0.00256781,0.12198483409619688,0.16860956,65.35229626572156,313.298
